timestamp,pop_size,gene_count,mutation_rate,mutation_amount,sim_steps,generation,max_fitness,mean_fitness,median_fitness,max_height
2026-01-06 17:05:37,50,5,0.2,0.3,2400,56,0.09364847942427482,0.028293828581576745,0.025713376062289663,2.500403277218295
2026-01-06 17:05:56,50,5,0.2,0.3,2400,57,0.09364847942427482,0.03448139847498003,0.028046425760044513,2.5004226862409533
2026-01-06 17:06:15,50,5,0.2,0.3,2400,58,0.09364847942427482,0.028160115291163083,0.02375511367197973,2.500348007237676
2026-01-06 17:06:34,50,5,0.2,0.3,2400,59,0.09364847942427482,0.03226130489739516,0.02933734217906016,2.500274844125088
2026-01-06 17:06:53,50,5,0.2,0.3,2400,60,0.09585672255901617,0.03600512048915441,0.03751926414221436,2.500628022933399
2026-01-06 17:07:12,50,5,0.2,0.3,2400,61,0.09585672255901617,0.03554554084917264,0.03009616661970191,2.500671297253255
2026-01-06 17:07:31,50,5,0.2,0.3,2400,62,0.09585672255901617,0.03457377386692248,0.03228608229081961,2.5002206859166773
2026-01-06 17:07:49,50,5,0.2,0.3,2400,63,0.09585672255901617,0.03448197458935574,0.03186866463634551,2.5017806399222016
2026-01-06 17:08:08,50,5,0.2,0.3,2400,64,0.09585672255901617,0.03171554666134553,0.025280695644996264,2.5014253272236293
2026-01-06 17:08:27,50,5,0.2,0.3,2400,65,0.09585672255901617,0.0386309204410449,0.03538379996744892,2.5015907309556153
2026-01-06 17:08:45,50,5,0.2,0.3,2400,66,0.09585672255901617,0.03953346332730433,0.03471382100086058,2.5011395343192193
2026-01-06 17:09:04,50,5,0.2,0.3,2400,67,0.09585672255901617,0.03563302863698932,0.028224848547313275,2.5001902663574556
2026-01-06 17:09:22,50,5,0.2,0.3,2400,68,0.09585672255901617,0.03987899488929743,0.03536384612590476,2.500033562625896
2026-01-06 17:09:41,50,5,0.2,0.3,2400,69,0.09585672255901617,0.042163606804574635,0.04007113624963497,2.500672788695161
2026-01-06 17:09:59,50,5,0.2,0.3,2400,70,0.09585672255901617,0.03821742631231139,0.039476305743034276,2.500258873099375
2026-01-06 17:10:18,50,5,0.2,0.3,2400,71,0.09585672255901617,0.03977052107818982,0.041427892548166104,2.5001798279048417
2026-01-06 17:10:36,50,5,0.2,0.3,2400,72,0.09635502933322333,0.03949282501596575,0.040816348872007774,2.500162633287579
2026-01-06 17:10:54,50,5,0.2,0.3,2400,73,0.09635502933322333,0.037673001762179366,0.040034405010318866,2.5000832203881944
2026-01-06 17:11:12,50,5,0.2,0.3,2400,74,0.09635502933322333,0.0401512066708292,0.03939865266901006,2.500302003795534
2026-01-06 17:11:31,50,5,0.2,0.3,2400,75,0.09635502933322333,0.04811679312612652,0.051238943488982065,2.500287726575109
2026-01-06 17:11:49,50,5,0.2,0.3,2400,76,0.09635502933322333,0.04017633568890025,0.042646338586710734,2.5002755450813723
2026-01-06 17:12:08,50,5,0.2,0.3,2400,77,0.09635502933322333,0.04382443956995224,0.04730170676657661,2.500381471790543
2026-01-06 17:12:27,50,5,0.2,0.3,2400,78,0.09635502933322333,0.036693312604306055,0.030246862410857937,2.4999905082526452
2026-01-06 17:12:46,50,5,0.2,0.3,2400,79,0.09635502933322333,0.03721608266353558,0.029441265796704894,2.501301784979467
2026-01-06 17:13:04,50,5,0.2,0.3,2400,80,0.09635502933322333,0.036417577023187826,0.036600198982364086,2.5007265157401886
2026-01-06 17:13:23,50,5,0.2,0.3,2400,81,0.09635502933322333,0.03820701128921408,0.0377107878777385,2.5000403246113834
2026-01-06 17:13:42,50,5,0.2,0.3,2400,82,0.09635502933322333,0.04128130900771901,0.04252208493865403,2.5000573008464206
2026-01-06 17:14:00,50,5,0.2,0.3,2400,83,0.09635502933322333,0.04416757611846284,0.04207531323333214,2.5001800169291206
2026-01-06 17:14:19,50,5,0.2,0.3,2400,84,0.09635502933322333,0.038969848211385966,0.040233184159641666,2.500054396824464
2026-01-06 17:14:38,50,5,0.2,0.3,2400,85,0.09635502933322333,0.029128860446679016,0.021560966146025103,2.50014018088579
2026-01-06 17:14:57,50,5,0.2,0.3,2400,86,0.09635502933322333,0.038811934399679365,0.03802767180542403,2.50022611769136
2026-01-06 17:15:16,50,5,0.2,0.3,2400,87,0.09635502933322333,0.037741140479483196,0.03779415345650017,2.500502394840364
2026-01-06 17:15:35,50,5,0.2,0.3,2400,88,0.09635502933322333,0.03905605356738948,0.03903719323684185,2.500053545165532
2026-01-06 17:15:54,50,5,0.2,0.3,2400,89,0.09635502933322333,0.03779385546936383,0.04040795092147462,2.5018369661438804
2026-01-06 17:16:13,50,5,0.2,0.3,2400,90,0.09635502933322333,0.03843848994266068,0.0419222565319322,2.5000480360194803
2026-01-06 17:16:32,50,5,0.2,0.3,2400,91,0.09635502933322333,0.03874278043191116,0.03930346450613405,2.4998979825811602
2026-01-06 17:16:50,50,5,0.2,0.3,2400,92,0.09635502933322333,0.041386804117977426,0.03753777965021911,2.499871112676521
2026-01-06 17:17:09,50,5,0.2,0.3,2400,93,0.09635502933322333,0.0511930073745532,0.052311839370217904,2.4997479311901656
2026-01-06 17:17:28,50,5,0.2,0.3,2400,94,0.09635502933322333,0.03913457869986671,0.03867360773799795,2.499794143290054
2026-01-06 17:17:47,50,5,0.2,0.3,2400,95,0.1001895190080499,0.04144125213940277,0.04600631352485205,2.4997396282396562
2026-01-06 17:18:06,50,5,0.2,0.3,2400,96,0.1001895190080499,0.03846615704742801,0.03980931463043656,2.499804543555951
2026-01-06 17:18:25,50,5,0.2,0.3,2400,97,0.1001895190080499,0.03844994482876343,0.03688660589226002,2.4998795488319807
2026-01-06 17:18:44,50,5,0.2,0.3,2400,98,0.1001895190080499,0.0325967767386277,0.025579942917714257,2.500203227875004
2026-01-06 17:19:03,50,5,0.2,0.3,2400,99,0.1001895190080499,0.032810249092686636,0.02649678982644783,2.500012833585936
